FID,GlobalID,Type,SubType,Name,Orig_Name,Source,Province,Prov_Code,District,Distr_Code,LAT,LONG,Data_year,x,y
1,35LNG902024_001,School,Community School,Kamuchanga Community School,kamuchanga comm school,ZamStats,Copperbelt,102,Chingola,102002,-12.6409000001,27.8310909268,2010,27.8310909268049,-12.6409000001349
2,35LNF881983_001,School,Community School,Kakalo Community School,kakalo comm school,ZamStats,Copperbelt,102,Chingola,102002,-12.6778099998,27.8117504118,2010,27.8117504117521,-12.6778099998316
3,35LNF931965_003,School Affiliated Infrastructure,Teachers Compound,Bwingimilonga Teachers Compound,teachers camp,ZamStats,Copperbelt,102,Chingola,102002,-12.69404,27.8579692841,2010,27.8579692840553,-12.6940400000459
4,35LPG025075_002,School,School,Amano Christian School,amano christian sch,ZamStats,Copperbelt,102,Chingola,102002,-12.5939099996,27.944530487,2010,27.9445304869924,-12.5939099996467
5,35LNG641155_002,School,Basic School,Mambili Basic School,mambili basic,ZamStats,Copperbelt,102,Lufwanyama,102006,-12.5229499999,27.5899906156,2010,27.5899906155745,-12.5229499999425
6,35LNG690187_002,School,Basic School,Jackson phiri Basic School,jackson phiri basic,ZamStats,Copperbelt,102,Chingola,102002,-12.4941199996,27.6356506348,2010,27.635650634769,-12.4941199996382
7,35LNG726217_002,School,Pre-School,Pre-School,pre school,ZamStats,Copperbelt,102,Chingola,102002,-12.4666999996,27.6682300571,2010,27.6682300570715,-12.4666999996052
8,35LNG748152_002,School,Basic School,Ipafu Basic School,ipafu basic,ZamStats,Copperbelt,102,Chingola,102002,-12.5251099997,27.6891403199,2010,27.6891403198699,-12.5251099997267
9,35LPF646650_001,School Affiliated Infrastructure,Girls Dormitory,Ndola Girls Dormitory,ndola girls,ZamStats,Copperbelt,102,Kitwe,102010,-12.9760600004,28.5181999209,2010,28.5181999208897,-12.9760600003686
10,35LPF673767_001,School,Basic School,Kaniki Basic School,kaniki basic,ZamStats,Copperbelt,102,Ndola,102010,-12.8702899998,28.5424995423,2010,28.5424995423201,-12.8702899997836
11,35LPF727662_002,School,Basic School,Dola hill Basic School,dola hill basi,ZamStats,Copperbelt,102,Kitwe,102010,-12.9643299999,28.5925998688,2010,28.592599868789,-12.9643299999295
12,35LPF698655_001,School,School,Kwacha School,kwacha school,ZamStats,Copperbelt,102,Kitwe,102010,-12.9709700004,28.565799713,2010,28.5657997129864,-12.9709700003652
13,35LPF703650_001,School,Community School,Omni Community School,omni com shc,ZamStats,Copperbelt,102,Kitwe,102010,-12.9751800003,28.5701999663,2010,28.5701999662555,-12.9751800002568
14,35LPF654710_001,School Affiliated Infrastructure,School Compound,Wlw School Compound,school comp,ZamStats,Copperbelt,102,Kitwe,102010,-12.9213400004,28.5254993438,2010,28.5254993438197,-12.9213400004406
15,35LPF782742_001,School Affiliated Infrastructure,School Compound,Minsundu School Compound,school cmpnd,ZamStats,Copperbelt,102,Ndola,102010,-12.8916399996,28.6424007417,2010,28.6424007417009,-12.8916399995863
16,35LPF308511_001,School,School,Mansansa School,mansansa sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.1029799996,28.207099915,2010,28.2070999150291,-13.1029799996272
17,35LPF677514_001,School,Community School,Roma Community School,roma comm sch,ZamStats,Copperbelt,102,Ndola,102010,-13.0989400004,28.5475997928,2010,28.5475997927962,-13.0989400003807
18,35LPF721593_001,School Affiliated Infrastructure,Teachers Compound,Kafubu Teachers Compound,tcompound,ZamStats,Copperbelt,102,Ndola,102010,-13.0268899999,28.5874004366,2010,28.5874004365809,-13.0268899998736
19,35LPF626753_002,School,Community School,Kam Community School,comm sch kam,ZamStats,Copperbelt,102,Kitwe,102010,-12.88264,28.498699188,2010,28.4986991880172,-12.8826400000359
20,35LPF566634_002,School,Community School,Mayonde Community School,mayonde com sc,ZamStats,Copperbelt,102,Kitwe,102010,-12.9907099997,28.4440994265,2010,28.4440994265473,-12.9907099996667
21,35LPF623752_001,School,Nursery School,Kam Nursery School,nursary school,ZamStats,Copperbelt,102,Kitwe,102010,-12.8833399999,28.4962997437,2010,28.4962997437382,-12.883339999941
22,35LPF894521_002,School,Basic School,Turgagan Basic School,turgagan b sch,ZamStats,Copperbelt,102,Ndola,102010,-13.0905700002,28.7474002841,2010,28.7474002840959,-13.0905700002053
23,35LPF805511_001,School,Community School,Bearfoot Community School,bearfoot co sc,ZamStats,Copperbelt,102,Ndola,102010,-13.1008900004,28.665800095,2010,28.6658000949984,-13.1008900003732
24,35LPF841532_001,School,School,Chalubemba School,chalubemba sch,ZamStats,Copperbelt,102,Ndola,102010,-13.08103,28.698900223,2010,28.698900222967,-13.0810300000344
25,35LPF807514_001,School Affiliated Infrastructure,Girls Dormitory,Fatima Girls Dormitory,fatima girls,ZamStats,Copperbelt,102,Ndola,102010,-13.09784,28.6674995421,2010,28.6674995420703,-13.0978400000159
26,35LPF804512_001,School Affiliated Infrastructure,Teachers Compound,Fatima Teachers Compound,fatima teac co,ZamStats,Copperbelt,102,Ndola,102010,-13.0996000002,28.6644992832,2010,28.6644992832154,-13.0996000002398
27,35LPF817489_002,School,School,Tumelo nur School,tumelo nur sch,ZamStats,Copperbelt,102,Ndola,102010,-13.1201200004,28.6763992312,2010,28.6763992312396,-13.1201200004376
28,35LPF801517_002,School,Basic School,Yengwe Basic School,yengwe bas sch,ZamStats,Copperbelt,102,Ndola,102010,-13.0947800001,28.6613998417,2010,28.6613998417293,-13.0947800000969
29,35LPF348482_001,School,School,Kampelembe School,kampelembe sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.1287999996,28.2439994808,2010,28.2439994807914,-13.1287999996202
30,35LPF395519_001,School,Community School,Kasununu Community School,kasununu com s,ZamStats,Copperbelt,102,Luanshya,102005,-13.0957200003,28.2875995633,2010,28.2875995632693,-13.0957200002778
31,35LPF887585_002,School,Community School,School,comm school,ZamStats,Copperbelt,102,Ndola,102010,-13.0333100001,28.7404003147,2010,28.7404003147228,-13.0333100000564
32,35LPF658454_002,School,Basic School,Kafubu Basic School,kafubu b sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.1526099996,28.5305995943,2010,28.5305995942959,-13.1526099995518
33,35LPF659588_002,School,Basic School,Kasongo Basic School,kasongo b sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.03173,28.5305995943,2010,28.5305995942959,-13.0317300000394
34,35LPF418448_001,School,School,Chisokone School,chisokone sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.1594500002,28.3083992005,2010,28.3083992004628,-13.1594500002173
35,35LPF566769_001,School,Community School,Kawama Community School,kawama c schol,ZamStats,Copperbelt,102,Kitwe,102010,-12.8686200001,28.4440002439,2010,28.4440002439162,-12.8686200001129
36,35LPF704444_001,School,Community School,Orphanage Community School,orphanage com,ZamStats,Copperbelt,102,Ndola,102010,-13.16196,28.5729007725,2010,28.5729007724527,-13.161959999954
37,35LPF578675_001,School,School,St mary School,st mary schoo,ZamStats,Copperbelt,102,Kitwe,102010,-12.9532299998,28.4552001956,2010,28.4552001956326,-12.9532299997646
38,35LPF543626_001,School,School,Tulabula School,tulabula sch,ZamStats,Copperbelt,102,Kitwe,102010,-12.9975999999,28.4230003358,2010,28.4230003357969,-12.99759999994
39,35LPF519784_001,School,School,School,school u contr,ZamStats,Copperbelt,102,Kitwe,102010,-12.8550999999,28.4001998905,2010,28.4001998905126,-12.855099999865
40,35LPF251936_001,College,College,College,college reside,ZamStats,Copperbelt,102,Kitwe,102004,-12.7192200002,28.1530990598,2010,28.1530990597739,-12.7192200002028
41,35LPF281920_001,School,Secondary School,Agathas Secondary School,agathas fou sc,ZamStats,Copperbelt,102,Kitwe,102004,-12.7332000001,28.1800003048,2010,28.1800003047703,-12.7332000000799
42,35LPF281921_001,School,School,Life song School,life song sch,ZamStats,Copperbelt,102,Kitwe,102004,-12.7329799998,28.1805992128,2010,28.1805992127835,-12.7329799998271
43,35LPF276921_001,School,School,Sepiso School,sepiso chr sch,ZamStats,Copperbelt,102,Kitwe,102004,-12.7321700002,28.1756992341,2010,28.1756992341324,-12.7321700002453
44,35LPF379753_001,School,School,Cb inter School,cb inter sch,ZamStats,Copperbelt,102,Kitwe,102004,-12.8842899997,28.2717990874,2010,28.271799087358,-12.8842899996837
45,35LPF370757_001,School,Community School,Community School,com dev colege,ZamStats,Copperbelt,102,Kitwe,102004,-12.8802100004,28.2632007601,2010,28.2632007601071,-12.8802100003912
46,35LPG077004_001,School,School,Fitanda School,fitanda sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.6578199998,27.9922008516,2010,27.9922008515881,-12.6578199997931
47,35LPF152961_001,School,School,Kalusale School,kalusale sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.6968700002,28.0618991852,2010,28.0618991851993,-12.6968700001503
48,35LPF374735_002,School,School,Limapela School,limapela sch,ZamStats,Copperbelt,102,Kitwe,102004,-12.9003500002,28.2670993805,2010,28.267099380532,-12.9003500001523
49,35LPF187969_001,School,School,Mukulumpe School,mukulumpe sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.6898700002,28.0935993197,2010,28.0935993196529,-12.6898700002003
50,35LPF070942_001,School,School,Musenga School,musenga sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.7140399996,27.9862995147,2010,27.9862995147109,-12.7140399996462
51,35LPF069892_001,School,School,Chishilano School,chishilano sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.7599400002,27.9852008822,2010,27.985200882215,-12.7599400002308
52,35LPF044978_001,School,Basic School,Milundu Basic School,milundu b sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.6819999997,27.9622993468,2010,27.9622993468374,-12.6819999997002
53,35LPF591646_002,School,Community School,Chibwe Community School,chibwe c sch,ZamStats,Copperbelt,102,Luanshya,102005,-12.9795300003,28.4671001437,2010,28.4671001436568,-12.9795300003092
54,35LPF144914_001,School,School,Denovan School,denovan school,ZamStats,Copperbelt,102,Kalulushi,102003,-12.7392300003,28.0538997651,2010,28.0538997650622,-12.7392300002642
55,35LPF602617_001,School,Community School,Elohimu Community School,elohimu c sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.0057499999,28.4776992799,2010,28.4776992798979,-13.0057499998625
56,35LPF222913_002,School,Basic School,Ichimpe Basic School,ichimpe b sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.7400399998,28.1261005405,2010,28.1261005405076,-12.7400399998461
57,35LPF619610_001,School,Community School,Mansansa Community School,mansansa c sch,ZamStats,Copperbelt,102,Luanshya,102005,-13.0123999999,28.4934997558,2010,28.4934997558091,-13.0123999998601
58,35LPF111876_002,School,School,Twikatane School,twikatane sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.7738,28.0242004396,2010,28.0242004395986,-12.77379999997
59,35LPF509829_001,School,Community School,Katuka Community School,katuka comm sc,ZamStats,Copperbelt,102,Kitwe,102004,-12.8146299997,28.3913002013,2010,28.3913002013433,-12.8146299996747
60,35LPF050812_001,School,Community School,Lunga Community School,lunga comm sch,ZamStats,Copperbelt,102,Kalulushi,102003,-12.8320099999,27.9678993227,2010,27.9678993226956,-12.8320099998616
