ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,89,Antenatal care provider: Doctor,5.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWDOC,,1992,DHS,3435,3443,,,
ZMB,473592,Antenatal care provider: Doctor,5.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWDOC,,1992,DHS,3982,3991,,,
ZMB,736661,Antenatal care provider: Doctor,5.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_DOC,83363010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWDOC,,1992,DHS,2627,2639,,,
ZMB,87,Antenatal care provider: Nurse/midwife,83.4,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNRS,,1992,DHS,3435,3443,,,
ZMB,473598,Antenatal care provider: Nurse/midwife,83.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNRS,,1992,DHS,3982,3991,,,
ZMB,736665,Antenatal care provider: Nurse/midwife,83,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NRS,83363020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNRS,,1992,DHS,2627,2639,,,
ZMB,85,Antenatal care provider: Other health worker,4,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOHW,,1992,DHS,3435,3443,,,
ZMB,473595,Antenatal care provider: Other health worker,4.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOHW,,1992,DHS,3982,3991,,,
ZMB,736666,Antenatal care provider: Other health worker,4.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OHW,83363050,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOHW,,1992,DHS,2627,2639,,,
ZMB,86,Antenatal care provider: Traditional birth attendant,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTBA,,1992,DHS,3435,3443,,,
ZMB,473596,Antenatal care provider: Traditional birth attendant,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTBA,,1992,DHS,3982,3991,,,
ZMB,736667,Antenatal care provider: Traditional birth attendant,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TBA,83363070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTBA,,1992,DHS,2627,2639,,,
ZMB,90,Antenatal care provider: Other,0.9,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWOTH,,1992,DHS,3435,3443,,,
ZMB,473593,Antenatal care provider: Other,0.8,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWOTH,,1992,DHS,3982,3991,,,
ZMB,736662,Antenatal care provider: Other,0.8,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_OTH,83363080,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWOTH,,1992,DHS,2627,2639,,,
ZMB,92,Antenatal care provider: Missing ,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWMIS,,1992,DHS,3435,3443,,,
ZMB,473599,Antenatal care provider: Missing ,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWMIS,,1992,DHS,3982,3991,,,
ZMB,736668,Antenatal care provider: Missing ,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_MIS,83363090,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWMIS,,1992,DHS,2627,2639,,,
ZMB,91,No antenatal care,6.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWNON,,1992,DHS,3435,3443,,,
ZMB,473594,No antenatal care,6.3,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWNON,,1992,DHS,3982,3991,,,
ZMB,736663,No antenatal care,6.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_NON,83363100,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWNON,,1992,DHS,2627,2639,,,
ZMB,93,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,3435,3443,,,
ZMB,473600,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWTOT,,1992,DHS,3982,3991,,,
ZMB,736669,Antenatal care: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_TOT,83363110,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHANCPWTOT,,1992,DHS,2627,2639,,,
ZMB,88,Antenatal care from a skilled provider,88.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,3435,3443,,,
ZMB,473597,Antenatal care from a skilled provider,88.5,1,ZM,Zambia,1992,ZM1992DHS,RH_ANCP_W_SKP,83363120,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHANCPWSKP,,1992,DHS,3982,3991,,,
