system:index,district,month,temperature_c,year,.geo
000000000000000007d5_0_0,Central,1.0,25.971413629064884,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_1,Central,2.0,25.85625160769978,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_2,Central,3.0,26.24269540386394,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_3,Central,4.0,25.47363318907838,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_4,Central,5.0,25.76552047177251,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_5,Central,6.0,23.483501650227954,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_6,Central,7.0,25.11801914384026,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_7,Central,8.0,31.091069918410607,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_8,Central,9.0,36.918644645390714,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_9,Central,10.0,38.8415276145954,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_10,Central,11.0,33.98338235528453,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_0_11,Central,12.0,29.88773048260907,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_0,Central,1.0,25.349878863516718,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_1,Central,2.0,26.324005251320877,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_2,Central,3.0,25.838208775860313,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_3,Central,4.0,26.860028360063072,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_4,Central,5.0,27.187550670677314,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_5,Central,6.0,26.372178374675862,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_6,Central,7.0,25.419636626995487,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_7,Central,8.0,30.59205562311415,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_8,Central,9.0,36.81966700964385,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_9,Central,10.0,37.95802648599714,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_10,Central,11.0,36.51953824827634,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_1_11,Central,12.0,31.75157217893676,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_0,Central,1.0,27.407134704063242,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_1,Central,2.0,29.035913452258363,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_2,Central,3.0,27.70709672248992,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_3,Central,4.0,27.837639331028708,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_4,Central,5.0,26.05062923656257,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_5,Central,6.0,24.966096438381438,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_6,Central,7.0,26.937802186131023,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_7,Central,8.0,30.358144860296292,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_8,Central,9.0,36.3263288186879,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_9,Central,10.0,37.717236303209084,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_10,Central,11.0,33.61876239817328,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_2_11,Central,12.0,32.65550618301555,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_0,Central,1.0,25.565529780956656,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_1,Central,2.0,25.238029344962126,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_2,Central,3.0,25.148355114442708,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_3,Central,4.0,25.628701933001384,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_4,Central,5.0,23.587833957620965,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_5,Central,6.0,22.644022778739433,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_6,Central,7.0,22.214981952240333,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_7,Central,8.0,26.81099299402713,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_8,Central,9.0,33.1223938283051,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_9,Central,10.0,35.73086378008062,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_10,Central,11.0,31.376628565508735,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d5_3_11,Central,12.0,24.815545629274744,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_0,Copperbelt,1.0,24.45014701827628,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_1,Copperbelt,2.0,24.578992373950584,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_2,Copperbelt,3.0,25.7822413304941,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_3,Copperbelt,4.0,24.63564372416425,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_4,Copperbelt,5.0,24.49662494138301,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_5,Copperbelt,6.0,22.5682081882206,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_6,Copperbelt,7.0,24.372672528604046,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_7,Copperbelt,8.0,30.46065545267018,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_8,Copperbelt,9.0,35.814667244659596,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_9,Copperbelt,10.0,37.15829767383977,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_10,Copperbelt,11.0,31.320961656936046,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_0_11,Copperbelt,12.0,27.85461799611456,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_0,Copperbelt,1.0,24.329715894058793,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_1,Copperbelt,2.0,25.992013189655808,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_2,Copperbelt,3.0,24.439238403687114,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_3,Copperbelt,4.0,24.87303270161902,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_4,Copperbelt,5.0,25.673349182953185,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_5,Copperbelt,6.0,25.00674086455242,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_6,Copperbelt,7.0,24.66616472453189,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_7,Copperbelt,8.0,30.439434356925357,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_8,Copperbelt,9.0,35.01754381729574,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_9,Copperbelt,10.0,34.39566463977736,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_10,Copperbelt,11.0,32.26900626348658,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_1_11,Copperbelt,12.0,27.855298518595855,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_0,Copperbelt,1.0,25.460125532613805,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_1,Copperbelt,2.0,27.034181825301697,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_2,Copperbelt,3.0,25.806990426703326,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_3,Copperbelt,4.0,25.74386043084354,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_4,Copperbelt,5.0,24.600039097614538,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_5,Copperbelt,6.0,23.929335006328014,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_6,Copperbelt,7.0,26.552570047058232,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_7,Copperbelt,8.0,30.624266282223292,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_8,Copperbelt,9.0,34.677912653236824,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_9,Copperbelt,10.0,34.229910104543755,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_10,Copperbelt,11.0,29.564130270491294,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_2_11,Copperbelt,12.0,28.364153678937104,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_0,Copperbelt,1.0,24.59508848684192,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_1,Copperbelt,2.0,24.28834979729873,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_2,Copperbelt,3.0,24.427512508220364,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_3,Copperbelt,4.0,23.54034042318303,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_4,Copperbelt,5.0,22.20505891261098,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_5,Copperbelt,6.0,21.224319304249583,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_6,Copperbelt,7.0,21.319225211653972,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_7,Copperbelt,8.0,26.11383639432233,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_8,Copperbelt,9.0,31.9996084433192,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_9,Copperbelt,10.0,33.38975612331052,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_10,Copperbelt,11.0,29.27373214248693,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d6_3_11,Copperbelt,12.0,23.962728195879127,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_0,Eastern,1.0,27.48727681563912,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_1,Eastern,2.0,27.837913184961245,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_2,Eastern,3.0,27.1373341356649,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_3,Eastern,4.0,26.06168946951116,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_4,Eastern,5.0,27.157204755036854,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_5,Eastern,6.0,25.20917529344746,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_6,Eastern,7.0,27.34543855184113,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_7,Eastern,8.0,32.86018146475728,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_8,Eastern,9.0,38.800643385184216,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_9,Eastern,10.0,42.190215656055024,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_10,Eastern,11.0,39.551657821344115,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_0_11,Eastern,12.0,33.132120400201735,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_0,Eastern,1.0,27.488333437755433,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_1,Eastern,2.0,27.231474428896068,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_2,Eastern,3.0,26.000163620602017,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_3,Eastern,4.0,26.441603298179068,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_4,Eastern,5.0,27.585975693104025,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_5,Eastern,6.0,27.37221600201542,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_6,Eastern,7.0,27.773197746517553,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_7,Eastern,8.0,32.17471025297954,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_8,Eastern,9.0,38.639943631677,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_9,Eastern,10.0,40.761996944728814,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007d7_1_10,Eastern,11.0,38.19900857482869,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
