Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zambia,ZMB,2021,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.82
Zambia,ZMB,2020,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.88
Zambia,ZMB,2019,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.5
Zambia,ZMB,2018,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.69
Zambia,ZMB,2017,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.77
Zambia,ZMB,2016,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.73
Zambia,ZMB,2015,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.83
Zambia,ZMB,2014,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.86
Zambia,ZMB,2013,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,7.9
Zambia,ZMB,2012,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,8.07
Zambia,ZMB,2011,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,8.28
Zambia,ZMB,2010,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,8.31
Zambia,ZMB,2009,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,8.88
Zambia,ZMB,2008,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,9.45
Zambia,ZMB,2007,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,9.84
Zambia,ZMB,2006,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,10.47
Zambia,ZMB,2005,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.04
Zambia,ZMB,2004,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.47
Zambia,ZMB,2003,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,11.94
Zambia,ZMB,2002,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.37
Zambia,ZMB,2001,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.53
Zambia,ZMB,2000,Energy intensity level of primary energy (MJ/$2021 PPP GDP),EG.EGY.PRIM.PP.KD,12.77
Zambia,ZMB,2023,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,17.6
Zambia,ZMB,2022,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.5
Zambia,ZMB,2021,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.5
Zambia,ZMB,2020,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14
Zambia,ZMB,2019,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14.2
Zambia,ZMB,2018,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,12.4
Zambia,ZMB,2017,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,14
Zambia,ZMB,2016,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,9.9
Zambia,ZMB,2015,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.7
Zambia,ZMB,2014,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.2
Zambia,ZMB,2013,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.4
Zambia,ZMB,2012,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.2
Zambia,ZMB,2011,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,8.1
Zambia,ZMB,2010,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4
Zambia,ZMB,2009,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.6
Zambia,ZMB,2008,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7.4
Zambia,ZMB,2007,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.6
Zambia,ZMB,2006,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,7
Zambia,ZMB,2005,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.7
Zambia,ZMB,2004,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.7
Zambia,ZMB,2003,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.9
Zambia,ZMB,2002,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.2
Zambia,ZMB,2001,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,5.8
Zambia,ZMB,2000,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.1
Zambia,ZMB,1999,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,4.25715558615297
Zambia,ZMB,1998,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.88768282232819
Zambia,ZMB,1997,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,2.75654799307165
Zambia,ZMB,1996,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.80335801462763
Zambia,ZMB,1995,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,1.29155598900718
Zambia,ZMB,1994,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,0.572324599248719
Zambia,ZMB,1992,"Access to electricity, rural (% of rural population)",EG.ELC.ACCS.RU.ZS,6.67226875555072
Zambia,ZMB,2023,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,89.9
Zambia,ZMB,2022,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,87
Zambia,ZMB,2021,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,85.7
Zambia,ZMB,2020,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,82.6
Zambia,ZMB,2019,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,79.5
Zambia,ZMB,2018,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,76.3
Zambia,ZMB,2017,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,75.2
Zambia,ZMB,2016,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,69.9
Zambia,ZMB,2015,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,67.7
Zambia,ZMB,2014,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,61.5
Zambia,ZMB,2013,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,61.4
Zambia,ZMB,2012,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,60.1
Zambia,ZMB,2011,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,58.9
Zambia,ZMB,2010,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,49.8
Zambia,ZMB,2009,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,56.4
Zambia,ZMB,2008,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,55.2
Zambia,ZMB,2007,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.8
Zambia,ZMB,2006,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,52.7
Zambia,ZMB,2005,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,51.6
Zambia,ZMB,2004,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47.6
Zambia,ZMB,2003,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48
Zambia,ZMB,2002,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,45.1
Zambia,ZMB,2001,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,47
Zambia,ZMB,2000,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.1
Zambia,ZMB,1999,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.7673645019531
Zambia,ZMB,1998,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,48
Zambia,ZMB,1997,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,42.440071105957
Zambia,ZMB,1996,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,44.1
Zambia,ZMB,1995,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,40.0386352539063
Zambia,ZMB,1994,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,38.8173828125
Zambia,ZMB,1993,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,37.5866508483887
Zambia,ZMB,1992,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,39.2
Zambia,ZMB,1991,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,35.1093902587891
Zambia,ZMB,1990,"Access to electricity, urban (% of urban population)",EG.ELC.ACCS.UR.ZS,34.7
Zambia,ZMB,2023,Access to electricity (% of population),EG.ELC.ACCS.ZS,51.1
Zambia,ZMB,2022,Access to electricity (% of population),EG.ELC.ACCS.ZS,47.8
Zambia,ZMB,2021,Access to electricity (% of population),EG.ELC.ACCS.ZS,46.7
Zambia,ZMB,2020,Access to electricity (% of population),EG.ELC.ACCS.ZS,44.6
Zambia,ZMB,2019,Access to electricity (% of population),EG.ELC.ACCS.ZS,43
Zambia,ZMB,2018,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.2
Zambia,ZMB,2017,Access to electricity (% of population),EG.ELC.ACCS.ZS,40.3
Zambia,ZMB,2016,Access to electricity (% of population),EG.ELC.ACCS.ZS,35.4
Zambia,ZMB,2015,Access to electricity (% of population),EG.ELC.ACCS.ZS,31.1
Zambia,ZMB,2014,Access to electricity (% of population),EG.ELC.ACCS.ZS,27.9
Zambia,ZMB,2013,Access to electricity (% of population),EG.ELC.ACCS.ZS,30.1
Zambia,ZMB,2012,Access to electricity (% of population),EG.ELC.ACCS.ZS,29.2
Zambia,ZMB,2011,Access to electricity (% of population),EG.ELC.ACCS.ZS,28.3
Zambia,ZMB,2010,Access to electricity (% of population),EG.ELC.ACCS.ZS,22
Zambia,ZMB,2009,Access to electricity (% of population),EG.ELC.ACCS.ZS,26.6
Zambia,ZMB,2008,Access to electricity (% of population),EG.ELC.ACCS.ZS,25.7
Zambia,ZMB,2007,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5
Zambia,ZMB,2006,Access to electricity (% of population),EG.ELC.ACCS.ZS,24.1
Zambia,ZMB,2005,Access to electricity (% of population),EG.ELC.ACCS.ZS,23.3
Zambia,ZMB,2004,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.3
Zambia,ZMB,2003,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5
Zambia,ZMB,2002,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.4
Zambia,ZMB,2001,Access to electricity (% of population),EG.ELC.ACCS.ZS,20.2
Zambia,ZMB,2000,Access to electricity (% of population),EG.ELC.ACCS.ZS,16.7
Zambia,ZMB,1999,Access to electricity (% of population),EG.ELC.ACCS.ZS,18.5402450561523
Zambia,ZMB,1998,Access to electricity (% of population),EG.ELC.ACCS.ZS,19
Zambia,ZMB,1997,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.1124591827393
Zambia,ZMB,1996,Access to electricity (% of population),EG.ELC.ACCS.ZS,17.3
Zambia,ZMB,1995,Access to electricity (% of population),EG.ELC.ACCS.ZS,15.6682720184326
Zambia,ZMB,1994,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.9417591094971
Zambia,ZMB,1993,Access to electricity (% of population),EG.ELC.ACCS.ZS,14.213207244873
Zambia,ZMB,1992,Access to electricity (% of population),EG.ELC.ACCS.ZS,19.2
Zambia,ZMB,1991,Access to electricity (% of population),EG.ELC.ACCS.ZS,12.7527027130127
Zambia,ZMB,1990,Access to electricity (% of population),EG.ELC.ACCS.ZS,13.9
Zambia,ZMB,2022,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.1116816431322
Zambia,ZMB,2021,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,7.31707317073171
Zambia,ZMB,2020,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,12.4335324624171
Zambia,ZMB,2019,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,11.277127983233
Zambia,ZMB,2018,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,12.5361027468813
Zambia,ZMB,2017,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,8.79460909028398
Zambia,ZMB,2016,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,2.77258037081136
Zambia,ZMB,2015,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2014,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2013,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2012,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2011,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2010,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2009,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2008,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2007,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2006,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0
Zambia,ZMB,2005,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS,0.178272980501393
